variable,coefficient
intercept,0.08119569161510913
Education,-1.1140917902042222
City_Prague,0.7572007226630154
Gender_Male,0.0
Loan term_4.0_12.0,0.0
Loan term_12.0_18.0,-0.26032373489718674
Loan term_18.0_24.0,0.0
Loan term_24.0_30.0,0.04554622717958593
Loan term_30.0_72.0,0.18176376820206275
Loan Amount_250.0_1274.0,-0.09078979980788858
Loan Amount_1274.0_1919.0,0.047413410363624536
Loan Amount_1919.0_2835.0,0.0
Loan Amount_2835.0_4611.0,0.0
Loan Amount_4611.0_18424.0,0.5310670232320589
Years since application_3.0_4.0,0.0
Years since application_4.0_7.0,-0.1753459749580969
Years since application_7.0_9.0,0.0
Years since application_9.0_11.0,0.034995680453751114
Years since application_11.0_13.0,0.08787858522143792
Age_24.0_33.0,0.751963717493303
Age_33.0_38.0,0.0
Age_38.0_44.0,0.0
Age_44.0_52.0,-0.135524494904431
Age_52.0_73.0,0.22690951350590569
